1.391584	0.353716	-0.009216	1.202007	-0.001130	0.259150
2.413519	0.500858	0.006025	2.093409	-0.014381	0.448520
2.060838	0.450775	0.025446	1.908466	0.039689	0.424382
2.738255	0.575571	0.037173	2.385537	0.007099	0.565633
2.511683	0.521242	0.002343	2.227484	0.000357	0.493521
1.783701	0.457346	-0.006025	1.975373	-0.016393	0.402745
1.595023	0.418791	0.007900	1.941253	0.006945	0.354749
1.875921	0.424903	0.022652	1.567678	0.019119	0.349648
2.196337	0.509280	0.000493	2.294760	0.007452	0.453722
1.575278	0.385421	0.006017	1.713216	0.003132	0.308930
2.844451	0.631470	0.004043	3.156404	0.001034	0.694466
1.494784	0.363650	0.002069	1.483396	0.000117	0.280775
2.084709	0.481410	0.007446	1.913479	0.002370	0.424541
2.414669	0.556991	0.025097	2.347745	0.011265	0.538462
2.012256	0.419293	0.003940	1.703336	0.000665	0.352623
2.520955	0.548117	0.011363	2.423424	0.009950	0.541812
3.004240	0.619601	0.015179	3.216893	-0.021864	0.658649
2.333086	0.557207	-0.011382	2.856474	-0.025386	0.563467
1.712463	0.419224	0.010560	1.727492	0.003995	0.337311
3.047437	0.639696	0.021682	2.950867	-0.018565	0.677411
2.171292	0.475460	-0.019519	2.104866	-0.024480	0.436084
3.298753	0.675778	-0.039968	3.165989	-0.038051	0.757173
2.875474	0.621416	0.004254	2.967122	0.037374	0.665818
2.301006	0.494322	-0.001366	2.379454	-0.033674	0.476665
1.166000	0.346592	-0.000633	1.245779	-0.001481	0.244324
1.729945	0.445602	-0.001108	1.961599	-0.002237	0.356461
1.238841	0.341701	0.000125	1.144960	-0.000173	0.234259
1.677797	0.401691	-0.000330	1.558922	0.009304	0.314817
1.426585	0.387763	0.001197	1.492491	-0.007678	0.294836
1.640620	0.402220	0.016151	1.560952	-0.003098	0.318831
1.829040	0.445007	0.010696	1.967360	-0.009748	0.386529
1.198458	0.346966	0.001043	1.162822	-0.000367	0.239575
2.166579	0.498631	0.011247	2.028439	0.002069	0.436794
2.012521	0.456135	-0.002360	1.895533	0.008049	0.393736
1.507386	0.365945	0.002986	1.330533	0.001601	0.266228
2.118556	0.502725	-0.021707	2.216388	-0.015245	0.465901
2.256658	0.515863	0.005391	2.561065	-0.000381	0.488768
1.731059	0.439917	0.017569	2.025472	0.028604	0.385457
2.795208	0.587699	-0.021277	2.607064	0.003298	0.602004
1.491952	0.395614	-0.003394	1.601466	-0.022009	0.315195
1.662872	0.412032	0.005794	1.791161	0.003360	0.329806
1.559430	0.362244	-0.001551	1.439592	-0.000066	0.274192
2.231417	0.495325	-0.013697	2.238794	-0.001741	0.455594
1.909781	0.482608	-0.007677	2.096462	-0.026103	0.454695
1.901783	0.448905	-0.029876	1.769676	-0.037492	0.409526
3.037755	0.632927	-0.014474	3.091392	-0.016586	0.714496
2.422806	0.534793	-0.007599	2.464618	0.004319	0.508011
1.951191	0.468651	-0.002399	1.920732	-0.005064	0.413039
2.563693	0.496880	0.003170	2.124037	0.011827	0.490368
2.091343	0.507392	0.005574	2.197688	0.013025	0.503260
1.841419	0.450634	-0.030908	1.936164	0.021813	0.428171
2.526173	0.548398	-0.021173	2.452000	0.029634	0.523622
1.098898	0.329669	-0.000000	1.098898	-0.000000	0.219780
1.941769	0.456807	0.037156	2.043160	0.028411	0.419854
2.318387	0.516671	0.029391	2.725256	0.018225	0.524576
2.277568	0.530411	-0.029081	2.390800	-0.000693	0.505162
2.666068	0.552939	0.016174	2.262551	-0.010879	0.548008
1.278603	0.351715	-0.000323	1.184854	0.001165	0.244977
2.233478	0.477705	0.001147	2.107442	-0.031851	0.447436
2.049858	0.460190	-0.015110	1.833743	-0.003234	0.409517
1.469649	0.380231	-0.001594	1.409190	0.001409	0.293196
1.863959	0.453051	-0.004897	2.012374	0.009572	0.396629
2.426857	0.540753	-0.005618	2.512417	-0.030495	0.523386
1.098898	0.329669	-0.000000	1.098898	-0.000000	0.219780
1.163956	0.344316	0.016882	1.174077	0.021650	0.253118
2.090846	0.483058	0.011875	1.985487	-0.021820	0.434388
1.392834	0.368384	-0.006260	1.510115	-0.005458	0.284572
1.716223	0.388596	0.002064	1.469393	0.000136	0.301672
2.787952	0.564556	0.000632	2.638607	0.016781	0.565858
1.275049	0.371905	-0.001961	1.332281	0.002945	0.273885
2.019979	0.457200	-0.004608	2.245238	-0.001651	0.418160
1.110937	0.333047	0.000041	1.111318	0.000022	0.222974
1.908520	0.429082	-0.029068	2.052581	-0.006473	0.376971
3.034040	0.665780	-0.008714	3.130100	-0.029627	0.754475
1.967494	0.482039	0.019262	2.160669	0.036443	0.439560
1.573227	0.414767	0.002270	1.579280	-0.010503	0.335299
2.305800	0.522798	-0.013515	2.244932	-0.022613	0.488974
1.430815	0.386096	-0.003677	1.503818	0.001531	0.300960
1.698442	0.441102	-0.012146	1.891106	-0.005027	0.372556
1.240159	0.345746	-0.000314	1.251966	-0.000000	0.238004
1.762778	0.432371	-0.006597	1.979650	-0.007591	0.366035
2.043099	0.515089	-0.002572	2.346425	0.001307	0.514555
1.857153	0.449678	0.007520	1.987586	0.010205	0.400676
2.226076	0.526762	0.036076	2.458732	0.007179	0.520459
3.195569	0.675630	-0.018366	3.097719	0.001558	0.758721
1.510351	0.406842	-0.008465	1.726357	-0.001468	0.330690
2.267981	0.480174	0.021934	2.112752	0.011730	0.445526
1.634382	0.413297	0.005287	1.738368	-0.003901	0.330747
1.494595	0.378931	-0.033451	1.300759	-0.013136	0.301031
2.331309	0.551265	-0.016264	2.663626	-0.006358	0.543873
1.354049	0.369366	0.000924	1.284292	0.000421	0.269509
2.228175	0.497424	-0.020019	2.226061	-0.000773	0.471347
1.481816	0.367753	0.000406	1.316711	-0.004474	0.266530
1.556574	0.424271	-0.028060	1.683206	-0.035700	0.368047
3.162331	0.595246	-0.030676	2.841826	0.020101	0.652518
1.491015	0.386941	0.001789	1.747319	0.000352	0.291670
2.470458	0.535752	0.012668	2.276305	0.030641	0.538224
2.843563	0.630365	0.022075	2.923730	0.022211	0.690546
2.285096	0.493308	0.005282	2.046912	-0.019964	0.457903
1.500355	0.434314	-0.029634	1.840618	-0.012495	0.377051
2.628004	0.534559	-0.011878	2.541697	-0.005027	0.532230
1.657193	0.397167	-0.001934	1.764137	-0.006721	0.309832
2.265535	0.519366	-0.017911	2.444609	-0.019750	0.512506
2.464833	0.532323	-0.018236	2.295792	-0.012574	0.524985
2.998441	0.593934	-0.016751	2.807304	-0.019518	0.652980
2.879536	0.578547	-0.012640	2.697298	-0.026462	0.572050
3.141022	0.651431	-0.006422	3.083629	0.000474	0.744273
1.859641	0.477309	0.010218	2.082071	0.010288	0.424406
2.912595	0.600073	0.000940	2.923779	-0.014830	0.653609
1.372761	0.379935	-0.001000	1.624315	-0.001103	0.290242
3.269847	0.663631	-0.016647	3.135810	0.003342	0.772372
1.706059	0.418085	0.004727	1.784308	0.006182	0.366926
1.389457	0.360871	0.002106	1.636613	0.007180	0.269247
1.982464	0.472216	0.022128	2.199366	-0.008234	0.445208
2.008197	0.456069	0.004641	2.131579	0.001063	0.411566
1.347912	0.363899	-0.003036	1.471716	-0.007721	0.271313
2.699062	0.591845	0.011237	2.816860	0.011503	0.595374
1.862103	0.438481	0.013078	1.759449	-0.021406	0.404144
2.090230	0.488169	0.014092	1.904473	0.024098	0.461489
2.353713	0.508530	0.014403	2.320402	0.021306	0.471491
1.238587	0.341068	-0.000756	1.140375	0.000127	0.232269
3.161131	0.667707	0.012540	3.195748	-0.008925	0.748862
2.662233	0.571912	0.021205	2.553548	-0.020267	0.563570
1.866884	0.445919	0.025369	2.054158	0.001269	0.376012
1.695249	0.392569	0.006712	1.439074	0.006135	0.295821
3.024617	0.695742	-0.015172	3.379720	0.029805	0.774422
1.751490	0.438596	-0.004622	1.786745	-0.011024	0.355551
2.493989	0.533071	-0.001155	2.288225	-0.015204	0.531109
1.177718	0.331774	0.000202	1.112839	0.000074	0.227018
1.824447	0.450310	-0.000044	1.713327	-0.003828	0.381847
1.465426	0.356942	0.003088	1.402116	0.000402	0.261168
2.007526	0.464350	0.001520	1.946204	-0.013865	0.403833
3.155080	0.639070	-0.015401	3.132951	-0.002182	0.707890
