1.645018,0.425158,1.983576,0.341821
2.592273,0.563468,2.556021,0.580303
1.717628,0.458901,1.968183,0.401310
2.215952,0.467248,1.762510,0.402255
1.139449,0.339586,1.136003,0.230421
2.829408,0.581966,2.623125,0.604038
1.513052,0.403900,1.760551,0.315839
1.625375,0.433580,1.893176,0.355068
2.148665,0.471679,2.240415,0.419277
3.461322,0.674785,3.276726,0.809165
2.192933,0.512260,2.333547,0.484956
2.159121,0.520475,2.521565,0.518170
2.966967,0.609782,2.973155,0.629428
3.098736,0.645116,2.894552,0.729736
1.444543,0.375931,1.504312,0.283996
2.355002,0.512180,2.491401,0.474791
2.341558,0.546742,2.579569,0.515894
3.003972,0.626173,2.915780,0.686254
2.538797,0.585310,2.914467,0.588018
1.445662,0.375179,1.300532,0.279273
2.437559,0.564339,2.804607,0.592763
2.084695,0.496470,2.439111,0.462378
2.657194,0.565832,2.654904,0.564198
1.148181,0.343036,1.154462,0.234464
3.377440,0.683552,3.457787,0.782703
1.770350,0.413462,1.705356,0.329802
1.844277,0.413330,1.688183,0.342685
1.997608,0.431916,1.582136,0.355212
3.154951,0.645065,3.203706,0.718560
2.173631,0.506761,2.259435,0.473323
2.293629,0.517381,2.782285,0.497328
1.628975,0.409489,1.664126,0.343003
3.324569,0.693120,3.244608,0.814804
1.952652,0.474072,2.011297,0.404658
2.072658,0.475817,2.101033,0.436072
3.420869,0.695127,3.402366,0.844017
1.985471,0.488509,2.135009,0.434356
2.807338,0.624362,2.998680,0.643304
2.595018,0.564315,2.408398,0.583743
1.221190,0.360086,1.446177,0.265133
1.098898,0.329669,1.098898,0.219780
2.222912,0.498037,2.299428,0.461477
1.098898,0.329669,1.098898,0.219780
1.525833,0.367596,1.311808,0.266942
1.701771,0.420334,1.824498,0.339266
1.734803,0.456454,1.985802,0.389037
2.610340,0.556246,2.458126,0.538134
3.306582,0.647473,2.926778,0.735377
1.460812,0.380348,1.567668,0.282502
2.300506,0.531942,2.370058,0.507060
1.178635,0.352381,1.287616,0.242678
1.943211,0.447859,1.807783,0.376053
1.593536,0.383215,1.388499,0.292782
1.331378,0.356491,1.201033,0.247380
1.391476,0.357611,1.285553,0.258568
2.139151,0.488982,2.079735,0.434800
2.649361,0.588985,2.787049,0.675897
2.714598,0.648568,3.163432,0.774113
1.283712,0.362302,1.227545,0.265541
3.076792,0.591505,3.077298,0.610700
2.939240,0.621221,2.758777,0.658888
1.146642,0.338338,1.207657,0.233755
1.423904,0.366315,1.278303,0.273809
2.384291,0.535925,2.452137,0.518942
1.137033,0.340208,1.145200,0.231538
1.760007,0.425691,1.828785,0.359652
2.585325,0.566161,2.541786,0.583355
2.584663,0.602316,2.975498,0.630423
1.959561,0.418443,1.693714,0.336513
1.964388,0.428810,1.831972,0.370919
1.145479,0.342257,1.218542,0.234279
1.234465,0.357317,1.558808,0.269542
2.758695,0.598948,2.660254,0.635237
2.571968,0.583084,2.902840,0.580970
3.002700,0.629785,3.107839,0.678342
1.152590,0.340577,1.241268,0.236429
2.366341,0.534795,2.529515,0.498123
1.952466,0.457154,2.046922,0.396431
1.502771,0.412559,1.567130,0.346338
2.490586,0.501284,2.256529,0.470394
2.018265,0.424126,1.921374,0.363426
1.177734,0.340950,1.136770,0.232050
1.948748,0.494241,2.184863,0.453930
2.084026,0.487312,2.393057,0.470817
2.338289,0.524061,2.392353,0.504046
1.392185,0.366203,1.416683,0.276160
1.697440,0.428412,1.913634,0.370975
2.030389,0.482223,1.812002,0.444262
1.171911,0.346550,1.272581,0.267075
